"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"3,22003",3,,,,,,,,22003,
"91,22091",91,,,,,,,,22091,
"92,22092",92,,,,,,,,22092,
"93,22093,1181,11181,23181, 25181",93,,,,,,,,22093,
"94,22094,1182,11182,23182, 25182",94,,,,,,,,22094,
"95,22095,1183,11183,23183, 25183",95,,,,,,,,22095,
"96,22096,1184,23184, 25184",96,,,,,,,,22096,
"97,22097,1186,11186,23186, 25186",97,,,,,,,,22097,
"1664,23272,1274,23274, 25274",1664,,,,,,,,23272,
"1273,23273,1275,23275, 25275",1273,,,,,,,,23273,
"98,22098",98,,,,,,,,22098,
"99,22099,247,14247,22247",99,,,,,,,,22099,
"1296,23296,1670,15302,23661",1296,,,,,,,,23296,
"1297,23297,1671,15303,23662",1297,,,,,,,,23297,
"100,22100,248,14248,20248,22248",100,,,,,,,,22100,
"1298,23298,1672,15304,21302,23663",1298,,,,,,,,23298,
"1299,23299,1673,15305,21303,23664",1299,,,,,,,,23299,
"1267,23267,1268,23268",1267,,,,,,,,23267,
"1302,23341,1304,23304",1302,,,,,,,,23341,
"1303,23302,1305,23305",1303,,,,,,,,23302,
"4,10051,18004,22004,24004",4,,10051,,,,18004,,22004,24004
"102,10102,18102,22102, 24102",102,,10102,,,,18102,,22102,24102
"103,10103,18103,22103, 24103",103,,10103,,,,18103,,22103,24103
"104,10104,18104,22104, 24104",104,,10104,,,,18104,,22104,24104
"105,10105,18105,22105, 24105",105,,10105,,,,18105,,22105,24105
"106,10106,18106,22106, 24106",106,,10106,,,,18106,,22106,24106
"107,10107,18107,22107, 24107",107,,10107,,,,18107,,22107,24107
"108,10108,18108,22108, 24108",108,,10108,,,,18108,,22108,24108
"109,10109,18109,22109, 24109",109,,10109,,,,18109,,22109,24109
"110,10110,18110,22110, 24110",110,,10110,,,,18110,,22110,24110
"111,10111,18111,22111, 24111",111,,10111,,,,18111,,22111,24111
"112,10112,18112,22112, 24112",112,,10112,,,,18112,,22112,24112
"113,10113,18113,22113, 24113",113,,10113,,,,18113,,22113,24113
"114,10114,18114,22114, 24114",114,,10114,,,,18114,,22114,24114
"5,1666",5,1666,,,,,,,,
"116,6116",116,6116,,,,,,,,
"117,6117",117,6117,,,,,,,,
"118,6118",118,6118,,,,,,,,
"119,6119",119,6119,,,,,,,,
"120,6120",120,6120,,,,,,,,
"121,6121",121,6121,,,,,,,,
"122,6122",122,6122,,,,,,,,
"123,6123",123,6123,,,,,,,,
"124,6124",124,6124,,,,,,,,
"125,6125",125,6125,,,,,,,,
"126,6126",126,6126,,,,,,,,
"1666,7666",1666,7666,,,,,,,,
"1667,7667",1667,7667,,,,,,,,
"1668,7668",1668,7668,,,,,,,,
"127,6127",127,6127,,,,,,,,
"128,6128",128,6128,,,,,,,,
"129,6129",129,6129,,,,,,,,
"130,6130",130,6130,,,,,,,,
"6,67",6,67,,,,,,,,
"132,6132",132,6132,,,,,,,,
"133,6133",133,6133,,,,,,,,
"134,6134,1293,7293",134,6134,,,,,,,,
"135,6135",135,6135,,,,,,,,
"136,6136",136,6136,,,,,,,,
"137,6137",137,6137,,,,,,,,
"138,6138",138,6138,,,,,,,,
"139,6139",139,6139,,,,,,,,
"140,6140",140,6140,,,,,,,,
"141,6141,1294,7294",141,6141,,,,,,,,
"142,6142",142,6142,,,,,,,,
"143,6143",143,6143,,,,,,,,
"144,6144",144,6144,,,,,,,,
"145,6145",145,6145,,,,,,,,
"7,22007,24007",7,,,,,,,,22007,24007
"147,22147,24147",147,,,,,,,,22147,24147
"148,22148,24148",148,,,,,,,,22148,24148
"149,22149,24149",149,,,,,,,,22149,24149
"8,18008,22008,24008",8,,,,,,18008,,22008,24008
"151,18151,22151,24151",151,,,,,,18151,,22151,24151
"152,18152,22152,24152",152,,,,,,18152,,22152,24152
"Classic > Cements > Temporary > ZOE",1665,,,,,,19296,,23659,25660
"153,18153,22153,24153",153,,,,,,18153,,22153,24153
"154,18154,22154,24154",154,,,,,,18154,,22154,24154
"9,10009,14009,18009,20009",9,,10009,,14009,,18009,20009,,
"156,10156,14156,18156,20156",156,,10156,,14156,,18156,20156,,
"157,10157,14157,18157,20157",157,,10157,,14157,,18157,20157,,
"158,10158,14158,18158,20158",158,,10158,,14158,,18158,20158,,
"1287,11287,15287,  19287, 21287,783, 6783, 10783,  14783,  18783, 20783",1287,,11287,,15287,,19287,21287,,
"159,  10159,  14159,  18159, 20159",159,,10159,,14159,,18159,20159,,
"1288,  11288,  15288,  19288, 21288,784, 6784, 10784,  14784,  18784, 20784",1288,,11288,,15288,,19288,21288,,
"1289,  11289,  15289,  19289, 21289,782, 6782, 10782,  14782,  18782, 20782",1289,,11289,,15289,,19289,21289,,
"10,  10010,  14010,20010,734, 6734,14734,20734",10,,10010,,14010,,,20010,,
